Mode,Model,TotalScore,POV Found,Patch Found
C-Mode,gemini-2.5-flash,44,curl-delta-01 libxml2-delta-01 libxml2-delta-02 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01,curl-delta-01 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01
Java-Mode,gemini-2.5-flash,50,tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0 zookeeper-delta-01 zookeeper-delta-02 tika-delta-02 tika-delta-04 tika-delta-05,tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0 zookeeper-delta-01 zookeeper-delta-02 tika-delta-02 tika-delta-04 tika-delta-05
Delta-Mode,gemini-2.5-flash,62,curl-delta-01 libxml2-delta-01 libxml2-delta-02 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 zookeeper-delta-01 zookeeper-delta-02 tika-delta-02 tika-delta-04 tika-delta-05,curl-delta-01 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 zookeeper-delta-01 zookeeper-delta-02 tika-delta-02 tika-delta-04 tika-delta-05
Full-Mode,gemini-2.5-flash,32,tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0,tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0
All,gemini-2.5-flash,94,curl-delta-01 libxml2-delta-01 libxml2-delta-02 zookeeper-delta-01 zookeeper-delta-02 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 tika-delta-02 tika-delta-04 tika-delta-05 tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0,curl-delta-01 zookeeper-delta-01 zookeeper-delta-02 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 tika-delta-02 tika-delta-04 tika-delta-05 tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0
C-Mode,gemini-2.5-pro,36,curl-delta-01 libxml2-delta-01 libxml2-delta-02 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 freerdp-delta-01,curl-delta-01 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 freerdp-delta-01
Java-Mode,gemini-2.5-pro,58,tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0 zookeeper-delta-01 zookeeper-delta-02 tika-delta-02 tika-delta-04 tika-delta-05,tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0 zookeeper-delta-01 zookeeper-delta-02 tika-delta-02 tika-delta-04 tika-delta-05
Delta-Mode,gemini-2.5-pro,54,curl-delta-01 libxml2-delta-01 libxml2-delta-02 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 freerdp-delta-01 zookeeper-delta-01 zookeeper-delta-02 tika-delta-02 tika-delta-04 tika-delta-05,curl-delta-01 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 freerdp-delta-01 zookeeper-delta-01 zookeeper-delta-02 tika-delta-02 tika-delta-04 tika-delta-05
Full-Mode,gemini-2.5-pro,40,tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0,tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0
All,gemini-2.5-pro,94,curl-delta-01 libxml2-delta-01 libxml2-delta-02 zookeeper-delta-01 zookeeper-delta-02 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 freerdp-delta-01 tika-delta-02 tika-delta-04 tika-delta-05 tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0,curl-delta-01 zookeeper-delta-01 zookeeper-delta-02 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 freerdp-delta-01 tika-delta-02 tika-delta-04 tika-delta-05 tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0
C-Mode,gpt-5-mini,28,curl-delta-01 libxml2-delta-01 libxml2-delta-02 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 freerdp-delta-01,curl-delta-01 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 freerdp-delta-01
Java-Mode,gpt-5-mini,32,tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0 zookeeper-delta-01 zookeeper-delta-02 tika-delta-02 tika-delta-04 tika-delta-05,tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0 zookeeper-delta-01 zookeeper-delta-02 tika-delta-02 tika-delta-04 tika-delta-05
Delta-Mode,gpt-5-mini,60,curl-delta-01 libxml2-delta-01 libxml2-delta-02 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 freerdp-delta-01 zookeeper-delta-01 zookeeper-delta-02 tika-delta-02 tika-delta-04 tika-delta-05,curl-delta-01 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 freerdp-delta-01 zookeeper-delta-01 zookeeper-delta-02 tika-delta-02 tika-delta-04 tika-delta-05
Full-Mode,gpt-5-mini,0,tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0,tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0
All,gpt-5-mini,60,curl-delta-01 libxml2-delta-01 libxml2-delta-02 zookeeper-delta-01 zookeeper-delta-02 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 freerdp-delta-01 tika-delta-02 tika-delta-04 tika-delta-05 tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0,curl-delta-01 zookeeper-delta-01 zookeeper-delta-02 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 freerdp-delta-01 tika-delta-02 tika-delta-04 tika-delta-05 tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0
C-Mode,gpt-5,42,curl-delta-01 libxml2-delta-01 libxml2-delta-02 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 freerdp-delta-01,curl-delta-01 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 freerdp-delta-01
Java-Mode,gpt-5,40,tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0 zookeeper-delta-01 zookeeper-delta-02 tika-delta-02 tika-delta-04 tika-delta-05,tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0 zookeeper-delta-01 zookeeper-delta-02 tika-delta-02 tika-delta-04 tika-delta-05
Delta-Mode,gpt-5,74,curl-delta-01 libxml2-delta-01 libxml2-delta-02 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 freerdp-delta-01 zookeeper-delta-01 zookeeper-delta-02 tika-delta-02 tika-delta-04 tika-delta-05,curl-delta-01 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 freerdp-delta-01 zookeeper-delta-01 zookeeper-delta-02 tika-delta-02 tika-delta-04 tika-delta-05
Full-Mode,gpt-5,0,tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0,tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0
All,gpt-5,74,curl-delta-01 libxml2-delta-01 libxml2-delta-02 zookeeper-delta-01 zookeeper-delta-02 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 freerdp-delta-01 tika-delta-02 tika-delta-04 tika-delta-05 tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0,curl-delta-01 zookeeper-delta-01 zookeeper-delta-02 libexif-delta-01-exif-004 libexif-delta-01-exif-003 sqlite3-delta-02 sqlite3-delta-03 sqlite3-delta-01 freerdp-delta-01 tika-delta-02 tika-delta-04 tika-delta-05 tika-full-01-vuln_7 tika-full-01-vuln_6 tika-full-01-vuln_0 commons-compress-full-01-vuln_5 commons-compress-full-01-vuln_1 commons-compress-full-01-vuln_0
